Posicion,Artista,Género,Nacionalidad,Nacimiento,Muerte,Vive?,Obra,Fecha,Alto,Ancho,Profundo,Tipo,Precio,Precio (COP),SalariosMin (COP 2020),AñosSalariosMin,15m(COP),Años 15m
63,Jean-michel Basquiat,H,Estados Unidos,1960,1988,false,Robot Man,1983,56.5,76.5,,2D,3860000,12931000000,14731,1227,862,71
64,Kaws,H,Reino Unido,1974,,true,IN THE WOODS,2002,147.6,275.3,,2D,3855000,12914250000,14712,1226,860,71
65,Mark Bradford,H,Estados Unidos,1961,,true,Disappear Like a Dope Fiend,2006,120.3,155.6,,2D,3855000,12914250000,14712,1226,860,71
66,Zhou Chunya,H,China,1955,,true,Tree series,1993,195,130,,2D,3844100,12877735000,14670,1222,858,71
67,Li Xuegong,H,China,1962,,true,Lotus,,1,200,,2D,3781800,12669030000,14432,1202,844,70
68,Jean-michel Basquiat,H,Estados Unidos,1960,1988,false,Logo,1984,153,122,,2D,3771400,12634190000,14392,1199,842,70
69,Huang Jiannan,H,China,1952,,true,Romantic Charm,2016,160,160,,2D,3758000,12589300000,14341,1195,839,69
70,Christopher Wool,H,Estados Unidos,1955,,true,Give it Up or Turn it Loose,1994,198.1,152.4,,2D,3750900,12565515000,14314,1192,837,69
71,Barkley L. Hendricks,H,Estados Unidos,1945,2017,false,Yocks,1975,183.2,106.7,,2D,3740000,12529000000,14273,1189,835,69
72,Cecily Brown,M,Reino Unido,1969,,true,Confessions of a Window Cleaner,,190.5,228.6,,2D,3620000,12127000000,13815,1151,808,67
73,John Currin,H,Estados Unidos,1962,,true,Tolbrook,,203.5,106.7,,2D,3615000,12110250000,13796,1149,807,67
74,Kaws,H,Reino Unido,1974,,true,Untitled (Fatal Group),2004,173,173,,2D,3495000,11708250000,13338,1111,780,65
75,Adrian Ghenie,H,Rumania,1977,,true,The Collector 4,2009,200.3,240,,2D,3489000,11688150000,13315,1109,779,64
76,Jean-michel Basquiat,H,Estados Unidos,1960,1988,false,Untitled,1988,107,91.4,,2D,3435000,11507250000,13109,1092,767,63
77,Mark Tansey,H,Estados Unidos,1949,,true,Repairing the Wheel,1996,213.4,162.6,,2D,3390000,11356500000,12937,1078,757,63
78,Yoshitomo Nara,H,Japón,1959,,true,Portrait of AE,2009,101.5,86.4,,2D,3388100,11350135000,12930,1077,756,63
79,Mark Grotjahn,H,Estados Unidos,1968,,true,Untitled (Yellow White Butterfly),2005,170.2,127,,2D,3385300,11340755000,12919,1076,756,63
80,Yoshitomo Nara,H,Japón,1959,,true,Adieu fille d’automne,2014,227.5,182,,2D,3385300,11340755000,12919,1076,756,63
81,Zeng Fanzhi,H,China,1964,,true,I-We,2004,215,330,,2D,3843009,12874080150,14666,1222,858,71
82,Jeff Koons,H,Estados Unidos,1955,,true,Elephant (Violet),1995,381,304.8,18.1,3D,3380000,11323000000,12899,1074,754,62
83,Mark Grotjahn,H,Estados Unidos,1968,,true,Face No. 1,2004,147.6,122.6,,2D,3380000,11323000000,12899,1074,754,62
84,Jonas Wood,H,Estados Unidos,1977,,true,M.S.F. Fish Pot #5,2015,193,188,,2D,3375000,11306250000,12880,1073,753,62
85,Jean-michel Basquiat,H,Estados Unidos,1960,1988,false,Pink Elephant with Fire Engine,1984,208.4,172.7,,2D,3367000,11279450000,12849,1070,751,62
86,Zhang Xiaogang,H,China,1958,,true,Bloodline – Big Family: Family,1995,100,130,,2D,3320300,11123005000,12671,1055,741,61
87,Wang Yancheng,H,China,1960,,true,Untitled,2015,190,190,,2D,3174600,10634910000,12115,1009,708,59
88,Wang Xingwei,H,China,1969,,true,Poor old Hamilton,1996,222,177.5,,2D,3165000,10602750000,12078,1006,706,58
89,Mark Tansey,H,Estados Unidos,1949,,true,Portage,1999,142.19,121.9,,2D,3080000,10318000000,11754,979,687,57
90,Kaws,H,Reino Unido,1974,,true,ARMED AWAY,2014,223.2,503,,2D,3073500,10296225000,11729,977,686,57
91,Mark Bradford,H,Estados Unidos,1961,,true,Scratch Pink,,152.4,121.9,,2D,3020000,10117000000,11525,960,674,56
92,Julie Mehretu,M,Estados Unidos,1970,,true,Arcade,2005,214,305.39,,2D,3020000,10117000000,11525,960,674,56
93,Marlene Dumas,M,Sudáfrica,1953,,true,Magdalena (Dark Polychrome),1995,200,100,,2D,3016600,10105610000,11512,959,673,56
94,Albert Oehlen,H,Alemania,1954,,true,Die Badenden,1999,275.6,475.8,,2D,3016600,10105610000,11512,959,673,56
95,Zhang Yan,H,China,1963,,true,Cham dance,1995,170,195,,2D,3007500,10075125000,11477,956,671,55
96,Chen Yifei,H,China,1946,2005,false,Reclining nude,1996,200,200,,2D,3007500,10075125000,11477,956,671,55
97,Zeng Fanzhi,H,China,1964,,true,Mask,1996,198.7,149.4,,2D,2997100,10040285000,11437,953,669,55
98,Liu Ye,H,China,1964,,true,"Boogie Woogie, Little Girl in New York",2006,210,210,,2D,2926700,9804445000,11169,930,653,54
99,Martin Kippenberger,H,Alemania,1953,1997,false,"Untitled, Lantern For Documenta IX",1992,217,173,42,3D,2859000,9577650000,10910,909,638,53
100,Christopher Wool,H,Estados Unidos,1955,,true,Untitled,1998,274.3,182.9,,2D,2841900,9520365000,10845,903,634,52
