Voyage_ID,Vessel_name,Voyage_itinerary_place,Voyage_itinerary_purchase,Voyage_itinerary_disembarkation,Year_of_arrival,Slaves_arrived_at_1st_port,Captains_name
90402,Anglesey,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1752,144,"Carruthers, James"
90403,Anglesey,Liverpool,Anomabu,Kingston,1753,149,"Carruthers, James"
90404,Alice Gally,,"Gold Coast, port unspecified",York River,1752,260,"Jackson, Richard"
90405,Alice Gally,Liverpool,Anomabu,Kingston,1754,240,"Jackson, Richard"
90406,Methuen,Greenock,Anomabu,"St. Kitts, port unspecified",1752,,"Campbell, Duncan<br/> Coppell, John"
90407,Shaw,Liverpool,Bonny,"Barbados, port unspecified",1754,213,"Martin, William"
90408,Polly,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1754,286,"Clemens, James"
90409,Hector,Liverpool,Bonny,Kingston,1752,378,"Carus, Thomas<br/> Kelsall, Brooke"
90410,Judith,Liverpool,Bonny,"Barbados, port unspecified",1752,340,"Gamon, Thomas<br/> Southworth, Nicholas"
90411,Judith,Liverpool,Anomabu,Kingston,1754,296,"Southworth, Nicholas"
90412,Judith,Liverpool,Bonny,Kingston,1755,195,"Kewley, Philip"
90413,Elizabeth,Liverpool,Gambia,"Virginia, port unspecified",1752,130,"Hayes, William"
90414,Elizabeth,Liverpool,Bonny,"Barbados, port unspecified",1754,215,"Hayes, William"
90415,Elizabeth,Liverpool,Bonny,"Barbados, port unspecified",1755,231,"Hayes, William"
90416,Gildart,Liverpool,Gambia,"Virginia, port unspecified",1744,,"Holme, Richard"
90417,Allen,Liverpool,"Gold Coast, port unspecified",Kingston,1753,74,"Strangeways, James"
90418,African,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1753,167,"Newton, John"
90419,African,Liverpool,Sierra Leone estuary,"St. Kitts, port unspecified",1754,87,"Newton, John"
90420,Mersey,Liverpool,Benin,Kingston,1754,200,"Gee, John<br/> Frissell, Henry"
90421,Fanny,Liverpool,Mano,"Barbados, port unspecified",1753,39,"Jenkinson, William"
90422,James,Liverpool,Sierra Leone estuary,"Barbados, port unspecified",1753,28,"Sachaverell, John"
90423,Knight,Liverpool,Anomabu,Kingston,1753,394,"Boats, William"
90424,Juno,Liverpool,Bonny,Newcastle (Nevis),1753,,"Frissell, Henry"
90425,Schemer,Liverpool,Windward + Ivory + Gold + Benin,"Barbados, port unspecified",1753,71,"Grimshaw, Robert"
90426,Schemer,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1755,90,"Grimshaw, Robert"
90427,Susanna,,"Africa., port unspecified",York River,1749,200,"Fryer, Edward"
90428,Samuel,Liverpool,"Windward Coast, port unspecified","Martinique, port unspecified",1756,156,"Welsh, Alex<br/> Embin"
90430,Sam and Biddy,Liverpool,Sherbro,"Barbados, port unspecified",1754,9,"Grayson, Robert"
90431,Cecilia,Liverpool,"Windward Coast, port unspecified",,1752,,"Young, Richard"
90432,Achilles,Liverpool,Bonny,"Barbados, port unspecified",1753,250,"Patrick, Thomas"
90433,Achilles,Liverpool,Bonny,"St. Kitts, port unspecified",1755,,"Lawson, Alex"
90434,Achilles,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1757,458,"Carus, Chris"
90435,Achilles,Liverpool,Whydah,Basse-Terre,1758,325,"Carus, Chris<br/> Mitchell, Robert"
90436,Ferret,Liverpool,Mano,"Barbados, port unspecified",1754,20,"Welch, Joseph<br/> Whitehead, Thomas"
90437,Swallow,Liverpool,Anomabu,Kingston,1753,148,"Lowe, James"
90438,Swallow,Liverpool,Anomabu,Kingston,1755,200,"Lowe, James"
90439,Swallow,Liverpool,Windward + Ivory + Gold + Benin,"Jamaica, port unspecified",1757,204,"Lowe, James"
90440,Priscilla,Liverpool,Calabar,"Barbados, port unspecified",1753,115,"Parkinson, William"
90441,Priscilla,Liverpool,Calabar,Kingston,1755,220,"Parkinson, William"
90442,Recovery,,"Africa., port unspecified","Montserrat, port unspecified",1753,,"Robinson, John"
90443,Recovery,Liverpool,Gambia,"Americas, port unspecified",1755,,"Whitehead, Richard"
90444,Lively,,Gambia,"Barbados, port unspecified",1753,92,"Walker, John"
90445,Lively,Liverpool,Gambia,Kingston,1754,110,"Walker, John"
90446,Lively,Liverpool,Gambia,"Barbados, port unspecified",1756,97,"Cubbin, Thomas"
90447,Barclay,Liverpool,Calabar,"St. Kitts, port unspecified",1753,,"Fowler, Thomas<br/> Gadson, John"
90448,Barclay,Liverpool,Calabar,"Barbados, port unspecified",1741,349,"Dobb, William"
90449,Barclay,Liverpool,"Africa., port unspecified",Kingston,1743,306,"Dobb, William"
90450,Barclay,Liverpool,"West Central Africa and St. Helena, port unspecified","Barbados, port unspecified",1744,,"Dobb, William"
90451,Barclay,,"Africa., port unspecified",Kingston,1746,298,"Dobb, William"
90452,Barclay,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1748,390,"Carus, Thomas"
90453,Barclay,Liverpool,"West Central Africa and St. Helena, port unspecified","St. Kitts, port unspecified",1750,,"Carus, Thomas"
90454,Barclay,,Calabar,"Barbados, port unspecified",1752,231,"Gadson, John"
90455,Pardoe,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1754,122,"Evered, Thomas<br/> Smith, Edward<br/> Gardner, Robert"
90456,Nanny,Liverpool,Popo,"St. Kitts, port unspecified",1754,,"Darbyshire, Ralph"
90457,Nanny,Liverpool,Windward + Ivory + Gold + Benin,Kingston,1756,110,"Darbyshire, Ralph"
90458,Earle of Hertford,Liverpool,"West Central Africa and St. Helena, port unspecified","Barbados, port unspecified",1754,209,"Threlfall, Thomas"
90459,Earle of Hertford,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1755,304,"Threlfall, Thomas"
90460,Swallow,Liverpool,Gambia,Martha Brae,1754,167,"Gamon, Thomas<br/> Taylor"
90461,Swan,Liverpool,Bonny,Kingston,1754,290,"Leay, Peter"
90462,Swan,Liverpool,Bonny,Kingston,1755,386,"Leay, Peter"
90463,Swan,Liverpool,,,1757,,"Coward, James"
90464,Rainbow,,"Africa., port unspecified","Barbados, port unspecified",1754,187,"Makin, Robert"
90465,Rainbow,Liverpool,Benin,Kingston,1756,234,"Harrison, Joseph"
90466,Rainbow,Liverpool,Benin,Charleston,1758,201,"Harrison, Joseph"
90467,Rainbow,Liverpool,Gambia,Charleston,1759,100,"Harrison, Joseph"
90468,York,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1754,243,"Foulkes, Thomas"
90469,York,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1756,379,"Buchanan, John<br/> Foulkes, Thomas"
90470,Bee,Liverpool,Cap Lopez,,1753,,"Benson, William"
90471,Benn,Liverpool,Calabar,"Barbados, port unspecified",1754,214,"Thompson, James"
90472,Benn,Liverpool,Calabar,Charleston,1756,350,"Naylor, Thomas<br/> Sherman, James"
90473,Ogden,Liverpool,Bonny,"Barbados, port unspecified",1754,243,"Cooper, William<br/> Walker, James"
90474,Ogden,Liverpool,Bonny,Kingston,1755,280,"Cooper, William"
90475,Ogden,Liverpool,,,1756,,"Lawson, Alex"
90476,Jenny,Liverpool,Anomabu,Kingston,1754,340,"Derbyshire, Thomas"
90477,Cato,Liverpool,Calabar,"Barbados, port unspecified",1754,198,"Chaffers, Thomas"
90478,Charming Nancy,Liverpool,Gambia,"Barbados, port unspecified",1754,145,"Sachaverell, Samuel"
90479,Charming Nancy,Liverpool,Gambia,Newcastle (Nevis),1755,,"Sachaverell, Samuel"
90480,Charming Nancy,Liverpool,"Windward Coast, port unspecified",,1755,,"Dickson, Thomas<br/> Sachaverell, Samuel"
90481,Stanley,Liverpool,Bassa,Saint John (Antigua),1754,,"Middleton, Thomas"
90482,Stanley,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1755,,"Middleton, Thomas"
90483,Prince Eugene,Liverpool,Benin,Kingston,1755,350,"Kewley, Thomas<br/> Wade"
90484,Prince Eugene,Liverpool,Benin,Kingston,1757,350,"Kewley, Thomas"
90485,Prince Eugene,Liverpool,Benin,"Jamaica, port unspecified",1759,365,"Kewley, Thomas"
90486,Prince Eugene,Liverpool,Calabar,Basse-Terre,1761,,"Kewley, Thomas"
90487,Hopewell,Liverpool,Popo,Kingston,1754,250,"Haynes, Thomas"
90488,Ellen,Liverpool,Cape Mount (Cape Grand Mount),"Barbados, port unspecified",1754,345,"Jordan, Thomas"
90489,Penelope,Liverpool,Sherbro,"Barbados, port unspecified",1755,140,"Wiatt, William"
90490,Penelope,Liverpool,"West Central Africa and St. Helena, port unspecified",,1757,,"Wiatt, William"
90491,Thomas,Liverpool,Gambia,"Montserrat, port unspecified",1754,,"Whiteside, Thomas"
90492,Thomas,Liverpool,Gambia,"Montserrat, port unspecified",1754,,"Whiteside, Thomas"
